longitude,latitude,id,group,type,name
-73.9098811,40.7039694,5485534337,2302,fast_food,Mally's 2
-73.9822309,40.6796283,5487146971,2303,cafe,Ninth Street Espresso
-73.9820747,40.678458,5487146972,2302,fast_food,Lin's Garden
-73.8733248,40.7566641,5490013364,2302,fast_food,Chinese Food
-73.8633244,40.7578956,5490016252,2516,butcher,Carniceria Mexicana
-73.8799367,40.7559661,5490017090,2302,fast_food,Chipotle
-73.7342682,40.6649971,5490021309,2302,fast_food,Checkers
-73.8023433,40.7806406,5491655523,2302,fast_food,McDonald's
-76.1559189,43.0486283,5493817832,2303,cafe,The Stoop Bakery Cafe
-73.9013463,40.713642,5496909262,2302,fast_food,KFC
-73.8963647,40.7005042,5498978424,2302,fast_food,Original Sal's Pizza
-74.0077577,40.656216,5500383167,2302,fast_food,Industry City Food Hall
-73.8989955,40.7094635,5502604418,2302,fast_food,Energy Fuel
-73.8970631,40.7063496,5503134971,2302,fast_food,Roksana Gourmet Deli
-73.9726762,40.6771548,5503372394,2302,fast_food,Antonio's Pizza
-73.9725947,40.6770419,5503372400,2501,supermarket,DNY Natural Land
-73.9050508,40.7455419,5504268662,2516,butcher,C + J Prime Meats
-73.9840041,40.6716935,5506774601,2303,cafe,Café Martin
-73.7989535,40.7036839,5514177865,2302,fast_food,Chipotle
-73.9981099,40.7296364,5514228220,2302,fast_food,The Market Place at Kimmel
-73.782806,40.6841925,5515258773,2302,fast_food,Royal Fried Chicken
-76.1706791,43.0920681,5516195691,2302,fast_food,Little ceasar
-73.3434035,43.0902192,5516750740,2501,supermarket,Yushak's
-73.9769282,40.6721139,5517079878,2303,cafe,Un Posto Italiano
-73.975415,40.6751381,5518770599,2303,cafe,Cafe Regular du Nord
-73.9911424,40.7608592,5519546126,2302,fast_food,Mercury Bar & Key Café
-74.0163998,40.7105762,5520364133,2501,supermarket,Gristedes
-74.0163169,40.7107442,5520366534,2302,fast_food,Chipotle
-74.0170631,40.7072236,5520369062,2501,supermarket,Battery Place Market
-74.0176079,40.7084281,5520375419,2501,supermarket,Gristedes
-73.98015,40.6897579,5521624421,2303,cafe,Hungry Ghost
-73.9974623,40.7225536,5523437746,2302,fast_food,Chipotle
-73.9682033,40.6722582,5523537866,2303,cafe,Emma's Torch Cafe
-73.9670043,40.674691,5523676925,2302,fast_food,Hood Hing
-76.6266713,42.9255159,5523855404,2302,fast_food,Reeces Ice Cream
-73.9852422,40.6662534,5526341737,2303,cafe,Muse
-73.9175715,40.7609538,5526584383,2302,fast_food,Wingstop
-73.9167215,40.7619866,5526584391,2302,fast_food,Taco Bell
-73.9835836,40.6841419,5528518947,2303,cafe,Blank Street Coffee
-73.9838946,40.7579702,5528676228,2303,cafe,Margon Restaurant
-73.9074792,40.7028355,5529300860,2302,fast_food,Crown Fried Chicken & Pizza
-73.9080852,40.7031924,5529410364,2302,fast_food,Susanos Pizzeria
-74.2069369,40.5421015,5530476452,2303,cafe,Starbucks
